timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742817530245,818,Vote,201,,Grupo de Usuários 1-103,text,true,,273,267,97,97,http://localhost:8080/v1/vote/1,818,0,2
1742817530266,801,Vote,201,,Grupo de Usuários 1-107,text,true,,273,267,93,93,http://localhost:8080/v1/vote/1,800,0,1
1742817530281,786,Vote,201,,Grupo de Usuários 1-110,text,true,,273,267,93,93,http://localhost:8080/v1/vote/1,785,0,1
1742817530256,811,Vote,201,,Grupo de Usuários 1-105,text,true,,273,267,93,93,http://localhost:8080/v1/vote/1,810,0,2
1742817530286,806,Vote,201,,Grupo de Usuários 1-111,text,true,,273,267,90,90,http://localhost:8080/v1/vote/1,806,0,1
1742817530291,805,Vote,201,,Grupo de Usuários 1-112,text,true,,273,267,89,89,http://localhost:8080/v1/vote/1,805,0,1
1742817530315,824,Vote,201,,Grupo de Usuários 1-117,text,true,,273,267,88,88,http://localhost:8080/v1/vote/1,824,0,2
1742817530332,807,Vote,201,,Grupo de Usuários 1-120,text,true,,273,267,88,88,http://localhost:8080/v1/vote/1,807,0,2
1742817530320,833,Vote,201,,Grupo de Usuários 1-118,text,true,,273,267,86,86,http://localhost:8080/v1/vote/1,832,0,2
1742817530302,854,Vote,201,,Grupo de Usuários 1-114,text,true,,273,267,85,85,http://localhost:8080/v1/vote/1,854,0,2
1742817530311,845,Vote,201,,Grupo de Usuários 1-116,text,true,,273,267,85,85,http://localhost:8080/v1/vote/1,845,0,4
1742817530296,860,Vote,201,,Grupo de Usuários 1-113,text,true,,273,267,85,85,http://localhost:8080/v1/vote/1,860,0,2
1742817530326,831,Vote,201,,Grupo de Usuários 1-119,text,true,,273,267,85,85,http://localhost:8080/v1/vote/1,830,0,2
1742817530307,850,Vote,201,,Grupo de Usuários 1-115,text,true,,273,267,85,85,http://localhost:8080/v1/vote/1,849,0,1
1742817530338,836,Vote,201,,Grupo de Usuários 1-121,text,true,,273,267,80,80,http://localhost:8080/v1/vote/1,835,0,2
1742817530342,842,Vote,201,,Grupo de Usuários 1-122,text,true,,273,267,79,79,http://localhost:8080/v1/vote/1,842,0,2
1742817530347,868,Vote,201,,Grupo de Usuários 1-123,text,true,,273,267,78,78,http://localhost:8080/v1/vote/1,868,0,1
1742817530354,863,Vote,201,,Grupo de Usuários 1-125,text,true,,273,267,77,77,http://localhost:8080/v1/vote/1,863,0,2
1742817530397,837,Vote,201,,Grupo de Usuários 1-133,text,true,,273,267,76,76,http://localhost:8080/v1/vote/1,836,0,3
1742817530361,884,Vote,201,,Grupo de Usuários 1-126,text,true,,273,267,75,75,http://localhost:8080/v1/vote/1,884,0,3
1742817530374,871,Vote,201,,Grupo de Usuários 1-129,text,true,,273,267,75,75,http://localhost:8080/v1/vote/1,871,0,3
1742817530366,879,Vote,201,,Grupo de Usuários 1-127,text,true,,273,267,75,75,http://localhost:8080/v1/vote/1,879,0,2
1742817530351,895,Vote,201,,Grupo de Usuários 1-124,text,true,,273,267,75,75,http://localhost:8080/v1/vote/1,894,0,2
1742817530370,883,Vote,201,,Grupo de Usuários 1-128,text,true,,273,267,71,71,http://localhost:8080/v1/vote/1,883,0,2
1742817530379,885,Vote,201,,Grupo de Usuários 1-130,text,true,,273,267,70,70,http://localhost:8080/v1/vote/1,884,0,3
1742817530386,882,Vote,201,,Grupo de Usuários 1-131,text,true,,273,267,69,69,http://localhost:8080/v1/vote/1,881,0,2
1742817530390,893,Vote,201,,Grupo de Usuários 1-132,text,true,,273,267,68,68,http://localhost:8080/v1/vote/1,893,0,2
1742817530401,891,Vote,201,,Grupo de Usuários 1-134,text,true,,273,267,67,67,http://localhost:8080/v1/vote/1,891,0,2
1742817530406,912,Vote,201,,Grupo de Usuários 1-135,text,true,,273,267,66,66,http://localhost:8080/v1/vote/1,912,0,2
1742817530421,906,Vote,201,,Grupo de Usuários 1-138,text,true,,273,267,65,65,http://localhost:8080/v1/vote/1,905,0,2
1742817530430,908,Vote,201,,Grupo de Usuários 1-140,text,true,,273,267,64,64,http://localhost:8080/v1/vote/1,908,0,2
1742817530415,923,Vote,201,,Grupo de Usuários 1-137,text,true,,273,267,64,64,http://localhost:8080/v1/vote/1,923,0,2
1742817530410,931,Vote,201,,Grupo de Usuários 1-136,text,true,,273,267,62,62,http://localhost:8080/v1/vote/1,930,0,2
1742817530435,912,Vote,201,,Grupo de Usuários 1-141,text,true,,273,267,61,61,http://localhost:8080/v1/vote/1,911,0,1
1742817530425,928,Vote,201,,Grupo de Usuários 1-139,text,true,,273,267,60,60,http://localhost:8080/v1/vote/1,928,0,3
1742817530445,913,Vote,201,,Grupo de Usuários 1-142,text,true,,273,267,59,59,http://localhost:8080/v1/vote/1,912,0,2
1742817530456,923,Vote,201,,Grupo de Usuários 1-145,text,true,,273,267,58,58,http://localhost:8080/v1/vote/1,923,0,2
1742817530448,934,Vote,201,,Grupo de Usuários 1-143,text,true,,273,267,57,57,http://localhost:8080/v1/vote/1,931,0,2
1742817530454,957,Vote,201,,Grupo de Usuários 1-144,text,true,,273,267,56,56,http://localhost:8080/v1/vote/1,956,0,2
1742817530461,956,Vote,201,,Grupo de Usuários 1-146,text,true,,273,267,55,55,http://localhost:8080/v1/vote/1,956,0,2
1742817530472,953,Vote,201,,Grupo de Usuários 1-148,text,true,,273,267,54,54,http://localhost:8080/v1/vote/1,953,0,2
1742817530476,960,Vote,201,,Grupo de Usuários 1-149,text,true,,273,267,53,53,http://localhost:8080/v1/vote/1,960,0,2
1742817530466,970,Vote,201,,Grupo de Usuários 1-147,text,true,,273,267,53,53,http://localhost:8080/v1/vote/1,970,0,3
1742817530481,955,Vote,201,,Grupo de Usuários 1-150,text,true,,273,267,53,53,http://localhost:8080/v1/vote/1,955,0,2
1742817530491,949,Vote,201,,Grupo de Usuários 1-152,text,true,,273,267,50,50,http://localhost:8080/v1/vote/1,949,0,2
1742817530485,955,Vote,201,,Grupo de Usuários 1-151,text,true,,273,267,50,50,http://localhost:8080/v1/vote/1,955,0,3
1742817530496,959,Vote,201,,Grupo de Usuários 1-153,text,true,,273,267,48,48,http://localhost:8080/v1/vote/1,958,0,2
1742817530500,955,Vote,201,,Grupo de Usuários 1-154,text,true,,273,267,48,48,http://localhost:8080/v1/vote/1,954,0,2
